"FullName","LengthMiB","LastWriteTime","IsSharedPCHPCH","InUnrealEditorScope"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\UnrealEd\SharedPCH.UnrealEd.RTTI.Cpp20.h.pch","2307.43","2026-07-04T14:38:36.1328402+08:00","True","True"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\UnrealEd\SharedPCH.UnrealEd.Cpp20.h.pch","2304.06","2026-07-04T14:38:36.1328402+08:00","True","True"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Engine\SharedPCH.Engine.Cpp20.h.pch","2158.5","2026-07-04T14:38:32.7724782+08:00","True","True"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\UnrealEd\PCH.UnrealEd.h.pch","2007.75","2026-07-04T14:38:31.4222534+08:00","False","True"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Engine\PCH.Engine.h.pch","1932.75","2026-07-04T14:38:27.9396310+08:00","False","True"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Slate\SharedPCH.Slate.Cpp20.h.pch","867.25","2026-07-04T14:38:04.4544386+08:00","True","True"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\CoreUObject\PCH.CoreUObject.h.pch","545","2026-07-04T14:37:58.5178905+08:00","False","True"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\CoreUObject\SharedPCH.CoreUObject.Cpp20.h.pch","531.62","2026-07-04T14:37:58.1024335+08:00","True","True"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Core\SharedPCH.Core.RTTI.Cpp20.h.pch","388.19","2026-07-04T14:37:54.2998738+08:00","True","True"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Core\PCH.Core.h.pch","387.75","2026-07-04T14:37:54.1810679+08:00","False","True"
"D:\UE\5.7.4r\Engine\Intermediate\Build\Win64\x64\UnrealEditor\Development\Core\SharedPCH.Core.Cpp20.h.pch","387.56","2026-07-04T14:37:54.0928360+08:00","True","True"
"D:\UE\5.7.4r\Engine\Plugins\Runtime\ResonanceAudio\Intermediate\Build\Win64\x64\UnrealEditor\Development\ResonanceAudio\PCH.ResonanceAudio.h.pch","232.06","2026-07-04T14:37:51.7632061+08:00","False","False"
